"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"36","Logan Gilbert",SEA,"SP7","26","79","38.2","2.9","+3"
"37","Bryce Harper",PHI,"1B4","29","51","39.2","4.1","+1"
"38","Wyatt Langford",TEX,"OF13","24","51","39.4","3.6","+9"
"39","Chris Sale",ATL,"SP8","20","47","39.6","3.9","+1"
"40","Matt Olson",ATL,"1B5","31","61","39.6","4.8","-3"
"41","Bryan Woo",SEA,"SP9","11","78","41.6","7.1","-6"
"42","Mason Miller",SD,"RP1","28","104","41.8","13.2","+1"
"43","Logan Webb",SF,"SP10","29","61","44.4","6.0","+6"
"44","Edwin Diaz",LAD,"RP2","28","81","44.8","17.3","+2"
"45","Jacob deGrom",TEX,"SP11","34","55","44.8","5.2","+7"
"46","Cole Ragans",KC,"SP12","31","53","46.6","4.5","+5"
"47","Mookie Betts",LAD,"SS7","32","63","47.2","7.7","+1"
"48","Roman Anthony",BOS,"OF14","43","83","47.6","3.8","+2"
"49","Max Fried",NYY,"SP13","35","72","50.0","7.9","-5"
"50","Rafael Devers",SF,"1B6","30","59","50.8","7.7","-8"
"51","Austin Riley",ATL,"3B4","44","68","51.0","3.3","+6"
"52","Cade Smith",CLE,"RP3","40","126","53.2","13.4","+12"
"53","Brice Turang",MIL,"2B3","46","65","55.4","7.7","-8"
"54","Freddie Freeman",LAD,"1B7","42","67","56.2","7.2","-1"
"55","Freddy Peralta",NYM,"SP14","49","90","56.4","5.3","+1"
"56","Jarren Duran",BOS,"OF15","44","69","56.6","4.8","+4"
"57","Josh Naylor",SEA,"1B8","37","97","58.2","8.1","+2"
"58","Andres Munoz",SEA,"RP4","44","112","58.8","12.7","0"
"59","Jackson Merrill",SD,"CF1","53","72","58.8","3.7","+9"
"60","George Kirby",SEA,"SP15","54","69","59.8","4.8","+6"
"61","William Contreras",MIL,"C2","47","79","60.4","3.8","-6"
"62","Jhoan Duran",PHI,"RP5","36","107","62.6","21.4","0"
"63","CJ Abrams",WSH,"SS8","40","79","62.8","7.4","+7"
"64","Joe Ryan",MIN,"SP16","52","140","62.8","9.2","+11"
"65","Jesus Luzardo",PHI,"SP17","57","81","63.0","5.5","+9"
"66","Shea Langeliers",ATH,"C3","44","89","64.0","13.4","+5"
"67","Riley Greene",DET,"OF16","49","76","64.0","8.7","-4"
"68","Dylan Cease",TOR,"SP18","60","104","67.2","5.6","+1"
"69","Ben Rice",NYY,"1B9","50","88","70.4","8.9","-2"
"70","Maikel Garcia",KC,"2B4","60","80","71.2","6.9","-5"
"71","Vinnie Pasquantino",KC,"1B10","62","77","73.0","2.8","+7"
"72","Cody Bellinger",NYY,"OF17","54","83","74.4","5.4","-18"
"73","Framber Valdez",DET,"SP19","58","90","74.4","7.0","+3"
"74","Geraldo Perdomo",ARI,"SS9","60","82","74.8","4.0","-13"
"75","Byron Buxton",MIN,"CF2","71","88","77.0","5.2","-3"
"76","Hunter Goodman",COL,"C4","46","90","77.4","7.9","-3"
"77","Kyle Bradish",BAL,"SP20","54","145","78.0","21.9","+2"
"78","Nolan McLean",NYM,"SP21","68","167","80.2","6.0","+17"
"79","George Springer",TOR,"OF18","67","113","83.2","7.0","-2"
"80","Bo Bichette",NYM,"SS10","68","110","83.2","12.4","0"
"81","Corey Seager",TEX,"SS11","67","95","83.6","8.6","+4"
"82","Randy Arozarena",SEA,"OF19","78","94","83.6","5.0","+2"
"83","Aroldis Chapman",BOS,"RP6","63","144","84.4","19.6","-1"
"84","Devin Williams",NYM,"RP7","53","158","85.2","26.5","+8"
"85","Tyler Soderstrom",ATH,"1B11","80","110","85.6","3.6","-4"
"86","David Bednar",NYY,"RP8","62","152","87.8","23.5","-3"
"87","Michael Harris II",ATL,"OF20","69","96","88.4","4.5","+14"
"88","Eury Perez",MIA,"SP22","66","150","89.4","12.3","+8"
"89","Eugenio Suarez",CIN,"3B5","71","107","91.0","7.6","-2"
"90","Seiya Suzuki",CHC,"OF21","75","159","94.0","10.7","+3"
""
"91","Jeremy Pena",HOU,"SS12","71","130","94.4","23.6","+14"
"92","Oneil Cruz",PIT,"CF3","92","108","96.6","2.3","-6"
"93","Trevor Story",BOS,"SS13","91","151","97.6","4.6","+24"
"94","Nick Pivetta",SD,"SP23","71","116","98.4","6.1","-4"
"95","Alex Bregman",CHC,"3B6","73","120","98.4","9.5","-6"
"96","Salvador Perez",KC,"C5","73","117","99.2","11.3","+1"
"97","Teoscar Hernandez",LAD,"OF22","87","119","99.8","7.6","+13"
"98","Michael Busch",CHC,"1B12","92","114","100.0","4.6","+4"
"99","Jose Altuve",HOU,"2B5","70","125","101.0","11.6","0"
"100","Nico Hoerner",CHC,"2B6","96","109","101.2","3.7","-6"
"101","Kevin Gausman",TOR,"SP24","62","127","101.4","15.9","-1"
"102","Christian Yelich",MIL,"OF23","80","122","102.8","9.8","-11"
"103","Willy Adames",SF,"SS14","89","133","104.2","12.1","+9"
"104","Drake Baldwin",ATL,"C6","75","154","105.2","17.2","0"
"105","Jacob Misiorowski",MIL,"SP25","90","240","108.2","7.7","+2"
"106","Sonny Gray",BOS,"SP26","90","131","109.6","12.8","-3"
"107","Will Smith",LAD,"C7","89","129","110.8","12.3","-9"
"108","Emmet Sheehan",LAD,"SP27","83","144","111.4","5.2","+27"
"109","Agustin Ramirez",MIA,"C8","83","129","112.2","15.1","0"
"110","Spencer Strider",ATL,"SP28","63","163","113.0","26.3","-4"
"111","Yandy Diaz",TB,"1B13","84","171","113.6","12.1","+17"
"112","Tyler Glasnow",LAD,"SP29","74","167","116.0","25.9","-4"
"113","Kyle Stowers",MIA,"OF24","89","149","116.0","10.1","+3"
"114","Ryan Helsley",BAL,"RP9","76","245","117.0","41.2","+30"
"115","Brandon Woodruff",MIL,"SP30","94","144","118.0","12.1","+9"
"116","Cam Schlittler",NYY,"SP31","96","257","118.8","12.7","+9"
"117","Luis Robert Jr.",NYM,"OF25","87","147","119.8","13.0","+5"
"118","Nick Lodolo",CIN,"SP32","111","185","120.4","5.3","+9"
"119","Nathan Eovaldi",TEX,"SP33","85","147","122.4","14.4","+12"
"120","Jo Adell",LAA,"OF26","113","172","123.6","7.9","+3"
"121","Andy Pages",LAD,"OF27","103","155","124.2","4.5","+16"
"122","Raisel Iglesias",ATL,"RP10","77","162","125.2","19.3","-11"
"123","Sandy Alcantara",MIA,"SP34","93","270","125.4","14.3","+27"
"124","Ceddanne Rafaela",BOS,"OF28","115","143","125.6","4.5","+37"
"125","Chase Burns",CIN,"SP,RP1","89","196","126.0","21.9","-12"
"126","Taylor Ward",BAL,"OF29","98","147","126.6","11.6","-6"
"127","Brandon Nimmo",TEX,"OF30","103","147","127.2","11.7","-8"
"128","Luke Keaschall",MIN,"2B7","109","156","127.8","8.9","-10"
"129","Blake Snell",LAD,"SP35","90","170","128.4","19.5","-14"
"130","Jeff Hoffman",TOR,"RP11","97","250","129.0","26.1","+4"
"131","Michael King",SD,"SP36","77","149","129.8","11.7","+1"
"132","Daniel Palencia",CHC,"RP12","102","196","130.4","29.0","+16"
"133","Jakob Marsee",MIA,"OF31","100","164","131.6","6.0","+5"
"134","Ryan Pepiot",TB,"SP37","104","158","133.8","5.8","-1"
"135","Matt Chapman",SF,"3B7","119","168","135.2","17.6","+1"
"136","Zack Wheeler",PHI,"SP38","60","195","136.2","29.4","-10"
"137","Bubba Chandler",PIT,"SP39","113","321","137.2","13.9","+21"
"138","Pete Fairbanks",MIA,"RP13","109","179","139.2","26.3","+16"
"139","Luis Castillo",SEA,"SP40","87","165","140.2","11.9","+3"
"140","Drew Rasmussen",TB,"SP41","114","157","141.4","3.8","+16"
"141","Dansby Swanson",CHC,"SS15","107","156","142.8","8.1","+12"
"142","Ranger Suarez",BOS,"SP42","133","183","144.6","5.5","+22"
"143","Yainer Diaz",HOU,"C9","100","180","144.8","23.8","0"
"144","Robbie Ray",SF,"SP43","106","278","144.8","23.0","+16"
"145","Shohei Ohtani (Pitcher)",LAD,"SP44","145","145","145.0","0.0","-57"
"146","Lawrence Butler",ATH,"OF32","125","177","145.4","7.1","-7"
"147","Ozzie Albies",ATL,"2B8","106","166","146.6","11.4","-18"
"148","Brenton Doyle",COL,"OF33","121","235","147.2","13.1","+66"
"149","Steven Kwan",CLE,"OF34","118","177","147.8","16.6","+2"
"150","Trevor Rogers",BAL,"SP45","130","288","148.0","17.7","+2"
"151","Carlos Estevez",KC,"RP14","103","201","149.2","27.3","-11"
"152","Emilio Pagan",CIN,"RP15","112","192","154.4","25.1","-11"
"153","Willson Contreras",BOS,"1B14","97","183","154.6","11.3","+12"
"154","MacKenzie Gore",TEX,"SP46","117","193","154.6","13.6","-7"
"155","Tanner Bibee",CLE,"SP47","137","194","156.0","12.7","+19"
"156","Jacob Wilson",ATH,"SS16","112","196","156.4","19.9","+10"
"157","Shota Imanaga",CHC,"SP48","139","175","156.4","7.7","+10"
"158","Bryan Reynolds",PIT,"OF35","140","200","159.4","11.8","+18"
"159","Ian Happ",CHC,"OF36","128","176","160.2","10.5","-10"
"160","Gavin Williams",CLE,"SP49","110","239","164.4","16.1","-14"
"161","Josh Hader",HOU,"RP16","116","225","165.2","34.5","-47"
"162","Matt McLain",CIN,"2B9","136","205","169.0","20.5","+23"
"163","Jack Flaherty",DET,"SP50","142","215","169.0","17.2","+24"
"164","Ryan Walker",SF,"RP17","107","246","169.8","32.6","+37"
"165","Kenley Jansen",DET,"RP18","105","270","171.4","32.6","-3"
"166","Christian Walker",HOU,"1B15","147","207","171.6","10.4","+26"
"167","Xavier Edwards",MIA,"SS17","134","203","171.8","20.9","-4"
"168","Adley Rutschman",BAL,"C10","138","207","173.6","19.9","-13"
"169","Edward Cabrera",CHC,"SP51","138","236","174.2","18.7","+19"
"170","Jac Caglianone",KC,"1B16","145","253","174.2","26.4","+13"
"171","Spencer Torkelson",DET,"1B17","157","185","175.0","5.6","+7"
"172","Dylan Crews",WSH,"OF37","127","310","175.6","16.1","+28"
"173","Alec Burleson",STL,"OF38","122","224","176.2","22.5","0"
"174","Alejandro Kirk",TOR,"C11","151","208","176.2","14.4","+1"
"175","Ivan Herrera",STL,"C12","143","253","176.8","24.8","+2"
"176","Shane Baz",BAL,"SP52","135","256","178.6","11.6","+27"
"177","Noelvi Marte",CIN,"3B8","122","238","179.6","26.0","-32"
"178","Brandon Lowe",PIT,"2B10","163","240","180.4","7.3","-21"
"179","Jonathan Aranda",TB,"1B18","147","216","181.8","20.6","+2"
"180","Ezequiel Tovar",COL,"SS18","101","208","182.0","13.1","+42"
"181","Trey Yesavage",TOR,"SP53","91","236","183.8","23.5","-51"
"182","Trevor Megill",MIL,"RP19","150","274","183.8","13.8","-23"
"183","Carlos Rodon",NYY,"SP54","151","204","184.2","11.7","+8"
"184","Tatsuya Imai",HOU,"SP55","136","396","184.4","24.0","-16"
"185","Addison Barger",TOR,"3B9","165","284","187.0","20.5","+5"
"186","Cade Horton",CHC,"SP56","160","233","187.6","9.8","0"
"187","Mike Trout",LAA,"OF39","165","207","187.8","13.2","-18"
"188","Zac Gallen",ARI,"SP57","155","224","188.2","18.9","+17"
"189","Shane McClanahan",TB,"SP58","161","247","189.8","12.6","+26"
"190","Royce Lewis",MIN,"3B10","153","216","190.0","10.2","+27"
"191","Aaron Nola",PHI,"SP59","141","208","190.4","13.2","+22"
"192","Wilyer Abreu",BOS,"OF40","166","212","192.0","11.8","+27"
"193","Kris Bubic",KC,"SP60","169","223","192.2","12.6","-11"
"194","Dennis Santana",PIT,"RP20","150","244","193.2","29.7","-1"
"195","Daylen Lile",WSH,"OF41","157","214","193.2","13.2","+7"
"196","Bryson Stott",PHI,"2B11","148","235","193.4","22.4","-16"
"197","Chandler Simpson",TB,"OF42","169","229","194.2","20.6","-27"
"198","Abner Uribe",MIL,"RP21","130","233","195.2","19.5","0"
"199","Daulton Varsho",TOR,"OF43","165","227","195.6","16.5","-3"
"200","Heliot Ramos",SF,"OF44","131","216","196.6","7.2","+16"
"201","Griffin Jax",TB,"RP22","132","290","200.0","49.3","+25"
"202","Andrew Abbott",CIN,"SP61","136","250","200.4","30.9","-5"
"203","Matthew Boyd",CHC,"SP62","161","236","200.4","18.6","-4"
"204","Sal Stewart",CIN,"1B19","169","259","203.4","28.4","-9"
"205","Konnor Griffin",PIT,"SS19","145","260","203.8","36.3","-11"
"206","Gleyber Torres",DET,"2B12","137","259","204.2","25.1","+2"
"207","Marcus Semien",NYM,"2B13","177","249","207.0","24.4","-3"
"208","Colson Montgomery",CWS,"SS20","143","271","210.2","25.5","-29"
"209","Kerry Carpenter",DET,"OF45","183","229","211.0","11.8","+21"
"210","Bryan Abreu",HOU,"RP23","144","315","212.4","35.1","+30"
"211","Jorge Polanco",NYM,"2B14","164","234","212.8","11.1","+1"
"212","Isaac Paredes",HOU,"3B11","164","254","214.2","27.0","-23"
"213","Jackson Holliday",BAL,"2B15","154","274","215.6","22.2","-41"
"214","Munetaka Murakami",CWS,"1B20","173","273","215.6","17.0","-30"
"215","Luis Garcia",WSH,"2B16","175","242","216.0","19.8","+52"
"216","Gabriel Moreno",ARI,"C13","179","266","216.6","16.1","+4"
"217","Kodai Senga",NYM,"SP63","188","276","217.0","33.0","+36"
"218","Adolis Garcia",PHI,"OF46","135","254","217.2","22.4","+3"
"219","Xander Bogaerts",SD,"SS21","156","256","218.8","23.4","+30"
"220","Mickey Moniak",COL,"OF47","170","255","220.4","35.5","+67"
"221","Sal Frelick",MIL,"OF48","197","262","221.2","15.3","-11"
"222","Ramon Laureano",SD,"OF49","186","274","222.2","19.1","+3"
"223","Kazuma Okamoto",TOR,"3B12","184","253","225.0","19.7","-52"
"224","Francisco Alvarez",NYM,"C14","154","268","227.0","26.5","+24"
"225","Kyle Manzardo",CLE,"1B21","211","271","227.4","10.7","+19"
"226","Alec Bohm",PHI,"3B13","163","251","227.6","16.4","+1"
"227","Jordan Beck",COL,"OF50","190","259","228.0","15.9","+29"
"228","Otto Lopez",MIA,"2B17","169","275","229.6","10.8","+14"
"229","Trent Grisham",NYY,"OF51","213","247","231.0","10.5","+3"
"230","Samuel Basallo",BAL,"C15","163","251","231.2","10.8","+1"
"231","Gerrit Cole",NYY,"SP64","189","261","231.4","17.3","-20"
"232","TJ Friedl",CIN,"OF52","197","256","233.2","9.4","+9"
"233","Jake Burger",TEX,"1B22","191","277","234.0","7.6","+30"
"234","Brendan Donovan",SEA,"2B18","167","273","235.6","14.6","-25"
"235","Max Muncy",LAD,"3B14","199","277","236.2","21.5","-11"
"236","Seranthony Dominguez",CWS,"RP24","199","297","237.4","20.6","+18"
"237","Caleb Durbin",BOS,"2B19","185","299","239.4","30.1","-2"
"238","Robert Suarez",ATL,"RP25","218","282","239.8","22.8","-31"
"239","Colton Cowser",BAL,"OF53","206","258","240.4","18.8","+12"
"240","Andrew Vaughn",MIL,"1B23","170","282","240.8","19.9","+33"
"241","Kevin McGonigle",DET,"SS22","150","288","241.0","27.0","+11"
"242","J.T. Realmuto",PHI,"C16","189","302","241.2","33.6","-8"
"243","Masyn Winn",STL,"SS23","162","289","243.2","36.4","+57"
"244","Merrill Kelly",ARI,"SP65","183","275","244.8","34.0","-16"
"245","Mike Burrows",HOU,"SP,RP2","186","352","246.8","59.6","+36"
"246","Bryce Miller",SEA,"SP66","214","320","247.4","40.5","+18"
"247","Shane Smith",CWS,"SP67","202","274","247.6","25.8","+14"
"248","Ryne Nelson",ARI,"SP,RP3","192","338","248.0","50.0","+10"
"249","JJ Wetherholt",STL,"SS24","204","296","250.0","36.0","-26"
"250","Cody Ponce",TOR,"SP,RP4","211","287","250.4","24.3","+36"
"251","Jose Soriano",LAA,"SP68","195","292","250.6","20.0","+62"
"252","Casey Mize",DET,"SP69","202","280","251.4","18.5","+27"
"253","Matt Shaw",CHC,"3B15","205","571","252.0","28.3","+50"
"254","Braxton Ashcraft",PIT,"SP,RP5","200","318","252.4","38.5","+23"
"255","Justin Crawford",PHI,"OF54","209","278","254.2","23.6","+15"
"256","Marcell Ozuna",PIT,"DH3","217","299","255.4","16.6","+24"
"257","Joey Cantillo",CLE,"SP,RP6","191","311","256.2","39.8","+25"
"258","Carlos Correa",HOU,"SS25","209","271","257.6","13.1","-19"
"259","Joe Musgrove",SD,"SP70","239","291","258.8","17.5","-26"
"260","Ryan O'Hearn",PIT,"1B24","228","281","259.0","18.6","+9"
"261","Luis Arraez",SF,"2B20","152","284","259.8","19.7","-25"
"262","David Peterson",NYM,"SP71","194","322","261.0","57.3","+29"
"263","Willi Castro",COL,"2B21","206","291","263.2","30.1","+32"
"264","Ryan Weathers",NYY,"SP72","188","309","263.4","34.9","+1"
"265","Dillon Dingler",DET,"C17","232","299","264.0","27.3","-6"
"266","Carter Jensen",KC,"C18","174","295","265.0","26.8","-37"
"267","Jack Leiter",TEX,"SP73","160","308","265.4","26.2","-21"
"268","Zebby Matthews",MIN,"SP74","224","316","269.4","34.3","+83"
"269","Nolan Schanuel",LAA,"1B25","204","340","270.0","19.7","+55"
"270","Giancarlo Stanton",NYY,"RF1","239","324","270.2","32.7","-32"
"271","Jordan Westburg",BAL,"2B22","189","404","270.4","73.8","-53"
"272","Matt Wallner",MIN,"OF55","240","307","272.8","23.3","+74"
"273","Josh Lowe",LAA,"OF56","228","286","273.4","8.4","+69"
"274","Noah Cameron",KC,"SP75","221","372","275.8","52.1","-31"
"275","Bailey Ober",MIN,"SP76","209","356","276.2","47.2","+33"
"276","Grayson Rodriguez",LAA,"SP77","248","317","276.2","23.1","+12"
"277","Miguel Vargas",CWS,"3B16","212","293","278.8","14.3","+6"
"278","Jung Hoo Lee",SF,"OF57","218","301","279.8","17.6","-31"
"279","Grant Taylor",CWS,"RP26","232","343","282.0","38.4","+106"
"280","Brett Baty",NYM,"3B17","249","341","283.0","33.5","+34"
"281","Cedric Mullins II",TB,"OF58","257","303","283.6","13.4","+68"
"282","Clay Holmes",NYM,"SP78","265","297","283.6","13.8","-11"
"283","Hunter Greene",CIN,"SP79","214","386","283.8","57.1","-162"
"284","Mitch Keller",PIT,"SP80","228","361","285.6","54.5","+36"
"285","Sean Manaea",NYM,"SP,RP7","237","295","287.6","7.3","+32"
"286","Roki Sasaki",LAD,"SP81","216","431","288.4","73.7","-41"
"287","Brady Singer",CIN,"SP82","254","345","290.6","31.6","+9"
"288","Will Warren",NYY,"SP83","245","428","294.6","68.2","+34"
"289","Spencer Steer",CIN,"1B26","207","382","296.6","43.5","-21"
"290","Jameson Taillon",CHC,"SP84","256","329","296.6","25.1","+21"
"291","Connelly Early",BOS,"SP85","190","474","297.4","92.1","-25"
"292","Mark Vientos",NYM,"3B18","212","399","299.4","61.6","-16"
"293","Ian Seymour",TB,"SP,RP8","226","351","299.8","45.0","+44"
"294","Chase DeLauter",CLE,"OF59","243","419","299.8","61.6","-20"
"295","Parker Messick",CLE,"SP86","241","365","300.4","34.8","+21"
"296","Braxton Garrett",MIA,"SP87","278","355","310.2","27.9","+141"
"297","Quinn Priester",MIL,"SP,RP9","243","421","317.2","64.2","-35"
"298","Jose Caballero",NYY,"2B23","198","320","240.0","49.2","-92"
"299","Shane Bieber",TOR,"SP88","175","334","243.8","57.9","-49"
"300","Cade Cavalli",WSH,"SP89","260","503","326.0","89.3","+53"
"301","Kyle Teel",CWS,"C19","222","271","249.3","18.7","-44"
"302","Robert Garcia",TEX,"RP27","222","296","251.8","28.1","-12"
"303","Tyler Stephenson",CIN,"C20","252","279","264.5","9.6","-31"
"304","Ernie Clement",TOR,"3B19","222","300","265.3","30.0","-49"
"305","Andres Gimenez",TOR,"2B24","219","310","267.3","32.8","+33"
"306","Bryce Eldridge",SF,"1B27","276","466","342.6","71.4","+26"
"307","Jasson Dominguez",NYY,"OF60","260","710","359.8","175.3","-29"
"308","Reynaldo Lopez",ATL,"SP90","272","290","283.0","6.8","+33"
"309","Kirby Yates",LAA,"RP28","225","374","286.8","54.3","+18"
"310","Harrison Bader",SF,"OF61","260","338","288.8","30.3","+61"
"311","Nolan Arenado",ARI,"3B20","217","372","290.8","55.1","+17"
"312","Brandon Marsh",PHI,"OF62","244","361","292.8","44.6","+87"
"313","Yusei Kikuchi",LAA,"SP91","230","363","295.8","60.1","-20"
"314","Chris Bassitt",BAL,"SP92","273","342","301.0","28.8","-16"
"315","Josh Bell",MIN,"1B28","232","364","301.5","47.7","+95"
"316","Cam Smith",HOU,"RF2","214","406","308.0","68.2","+65"
"317","Edwin Uceta",TB,"RP29","262","382","312.5","43.5","+17"
"318","Brooks Lee",MIN,"SS26","298","333","315.5","12.4","+1"
"319","Brayan Bello",BOS,"SP93","263","387","317.0","47.0","-18"
"320","Zach Eflin",BAL,"SP94","281","378","317.8","39.5","+46"
"321","Anthony Volpe",NYY,"SS27","294","360","318.5","24.9","+9"
"322","Chase Meidroth",CWS,"3B21","271","368","320.0","37.0","+101"
"323","Tyler O'Neill",BAL,"OF63","255","399","320.3","55.2","+66"
"324","Taylor Rogers",MIN,"RP30","270","371","320.5","42.9","+64"
"325","Brandon Pfaadt",ARI,"SP95","243","373","321.0","50.2","+8"
"326","Jake Cronenworth",SD,"2B25","283","418","321.3","56.0","+14"
"327","Luis Gil",NYY,"SP96","276","450","327.0","72.0","-43"
"328","Tommy Edman",LAD,"2B26","290","409","334.0","46.0","-5"
"329","J.P. Crawford",SEA,"SS28","293","434","334.5","57.7","-8"
"330","Ryan Jeffers",MIN,"C21","203","258","238.7","25.3","-38"
"331","Seth Lugo",KC,"SP97","279","455","343.3","70.0","-24"
"332","Austin Wells",NYY,"C22","224","279","250.7","22.5","-95"
"333","Logan O'Hoppe",LAA,"C23","227","287","257.7","24.5","-73"
"334","Andrew Painter",PHI,"SP98","257","794","400.3","227.4","-35"
"335","Jeff McNeil",ATH,"2B27","225","326","272.0","41.5","-25"
"336","Colt Keith",DET,"2B28","247","327","277.0","35.6","-39"
"337","Riley O'Brien",STL,"RP31","234","330","281.0","39.2","+2"
"338","Logan Henderson",MIL,"SP99","244","306","282.3","27.4","-49"
"339","Evan Carter",TEX,"OF64","273","314","298.3","18.1","-54"
"340","Coby Mayo",BAL,"1B29","285","1245","538.5","408.1","+65"
"341","Tyler Mahle",SF,"SP100","270","346","311.3","31.4","+14"
"342","Kevin Ginkel",ARI,"RP32","284","365","311.7","37.7","+33"
"343","Reid Detmers",LAA,"RP33","288","347","313.0","24.9","-8"
"344","Chad Patrick",MIL,"SP101","252","426","318.7","76.6","+3"
"345","Lucas Erceg",KC,"RP34","223","371","319.3","68.2","+94"
"346","Justin Steele",CHC,"SP102","258","391","319.3","54.8","-10"
"347","Dominic Canzone",SEA,"OF65","272","401","335.0","52.7","+31"
"348","Grant Holmes",ATL,"SP103","263","447","337.7","79.0","+16"
"349","Michael Wacha",KC,"SP104","262","388","339.0","55.1","-55"
"350","Paul Sewald",ARI,"RP35","244","449","348.3","83.7","+102"
"351","Jordan Lawlar",ARI,"3B22","233","556","348.7","146.9","-36"
"352","Carson Benge",NYM,"OF66","251","487","350.0","100.0","-40"
"353","Gavin Sheets",SD,"1B30","256","401","350.3","66.8","+63"
"354","Lenyn Sosa",CWS,"2B29","286","458","350.7","76.4","-23"
"355","Taj Bradley",MIN,"SP105","287","442","358.3","63.9","+86"
"356","Robby Snelling",MIA,"SP106","238","518","362.3","116.4","+9"
"357","Victor Vodnik",COL,"RP36","301","445","366.3","59.5","+49"
"358","Spencer Schwellenbach",ATL,"SP107","294","514","372.7","100.2","-83"
"359","Kyle Harrison",MIL,"SP,RP10","258","569","382.0","134.6","+122"
"360","Robert Stephenson",LAA,"RP37","294","551","399.7","109.8","+65"
"361","Nasim Nunez",WSH,"SS29","286","534","400.3","102.2","+95"
"362","Nick Castellanos",SD,"OF67","287","529","401.0","99.3","-58"
"363","Cristian Javier",HOU,"SP108","284","597","405.7","136.9","-2"
"364","Mick Abel",MIN,"SP109","283","1085","559.0","372.1","+33"
"365","Garrett Cleavinger",TB,"RP38","246","359","302.5","56.5","+37"
"366","Rhys Hoskins",CLE,"1B31","279","512","416.0","99.4","+128"
"367","Luis Severino",ATH,"SP110","277","590","419.0","129.4","+17"
"368","Will Vest",DET,"RP39","267","363","315.0","48.0","-42"
"369","Victor Scott",STL,"OF68","313","323","318.0","5.0","-63"
"370","Bo Naylor",CLE,"C24","281","357","319.0","38.0","+12"
"371","JoJo Romero",STL,"RP40","293","347","320.0","27.0","-12"
"372","Garrett Whitlock",BOS,"RP41","258","384","321.0","63.0","-63"
"373","Josh Jung",TEX,"3B23","272","377","324.5","52.5","-44"
"374","Simeon Woods Richardson",MIN,"SP111","283","617","431.0","139.0","+68"
"375","Edgar Quero",CWS,"C25","317","350","333.5","16.5","+20"
"376","Carlos Narvaez",BOS,"C26","300","373","336.5","36.5","-16"
"377","Clayton Beeter",WSH,"RP42","307","366","336.5","29.5","-7"
"378","Jacob Lopez",ATH,"SP112","321","355","338.0","17.0","-11"
"379","Jeremiah Estrada",SD,"RP43","269","408","338.5","69.5","-61"
"380","Josh Smith",TEX,"SS30","311","386","348.5","37.5","-55"
