"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"181","Matthew Boyd",CHC,"SP59","106","250","183.1","20.9","+21"
"182","Trevor Megill",MIL,"RP14","136","231","185.0","23.8","-40"
"183","Pete Fairbanks",MIA,"RP15","105","241","186.8","26.3","-18"
"184","Isaac Paredes",HOU,"3B9","102","226","187.4","20.9","0"
"185","Brenton Doyle",COL,"OF39","126","279","187.6","23.8","-2"
"186","Ezequiel Tovar",COL,"SS19","112","277","188.7","37.9","+42"
"187","Marcus Semien",NYM,"2B12","111","232","190.0","12.6","+4"
"188","Royce Lewis",MIN,"3B10","172","263","191.1","10.4","+23"
"189","Merrill Kelly",ARI,"SP60","120","253","191.3","16.1","+42"
"190","Alec Burleson",STL,"OF40","127","276","192.9","32.0","-3"
"191","Shane Baz",BAL,"SP61","152","242","194.0","19.4","+46"
"192","Zac Gallen",FA,"SP62","98","402","196.9","41.8","+24"
"193","Kenley Jansen",DET,"RP16","141","247","199.0","28.0","-20"
"194","Alejandro Kirk",TOR,"C12","159","288","199.0","14.0","-4"
"195","Emilio Pagan",CIN,"RP17","128","285","199.3","46.0","-28"
"196","Andrew Abbott",CIN,"SP63","166","254","199.4","21.7","-7"
"197","Shane McClanahan",TB,"SP64","149","248","200.8","16.8","+52"
"198","Mike Trout",LAA,"OF41","149","292","202.5","27.9","-40"
"199","Heliot Ramos",SF,"OF42","176","283","204.3","13.5","+27"
"200","Jorge Polanco",NYM,"2B13","129","274","206.3","34.2","+1"
"201","Connelly Early",BOS,"SP65","146","245","207.7","15.6","+46"
"202","Luis Garcia",WSH,"2B14","123","252","209.4","8.8","+69"
"203","Tatsuya Imai",HOU,"SP66","143","233","193.1","27.0","-23"
"204","Daniel Palencia",CHC,"RP18","127","253","211.3","32.5","-35"
"205","Gleyber Torres",DET,"2B15","74","264","211.8","17.6","+18"
"206","Jasson Dominguez",NYY,"OF43","144","266","212.6","24.2","+32"
"207","Addison Barger",TOR,"3B11","161","282","213.2","29.1","-15"
"208","Kyle Manzardo",CLE,"1B18","167","247","213.3","19.3","+48"
"209","Bryson Stott",PHI,"2B16","130","280","213.6","32.1","-15"
"210","Kerry Carpenter",DET,"OF44","160","236","214.7","13.9","+19"
"211","Masyn Winn",STL,"SS20","109","295","215.2","41.1","+70"
"212","Anthony Santander",TOR,"OF45","164","258","217.5","17.0","+6"
"213","Daylen Lile",WSH,"OF46","185","262","218.8","15.1","+28"
"214","Mark Vientos",NYM,"3B12","76","287","220.3","42.0","+20"
"215","Daulton Varsho",TOR,"OF47","164","250","220.7","20.2","-17"
"216","Wilyer Abreu",BOS,"OF48","181","279","221.2","16.7","+30"
"217","Kris Bubic",KC,"SP67","146","252","223.5","25.9","-2"
"218","Matt McLain",CIN,"2B17","163","281","225.0","23.9","+7"
"219","Dennis Santana",PIT,"RP19","186","274","226.0","27.1","-22"
"220","Samuel Basallo",BAL,"C13","162","304","229.0","31.8","-10"
"221","Munetaka Murakami",CWS,"1B19","165","278","229.4","26.7","-33"
"222","Bryce Miller",SEA,"SP68","113","274","230.5","29.8","+40"
"223","Kyle Teel",CWS,"C14","171","267","231.3","22.0","-10"
"224","Sal Frelick",MIL,"OF49","206","286","231.4","15.5","-12"
"225","Andrew Vaughn",MIL,"1B20","155","281","232.4","17.9","+87"
"226","Gabriel Moreno",ARI,"C15","170","290","233.9","25.3","+1"
"227","Roki Sasaki",LAD,"SP69","186","292","234.9","34.7","-23"
"228","Sal Stewart",CIN,"1B21","188","281","235.2","15.5","+12"
"229","Xander Bogaerts",SD,"SS21","157","295","235.7","25.8","-15"
"230","Trent Grisham",NYY,"OF50","212","273","238.9","15.4","-6"
"231","Spencer Steer",CIN,"1B22","146","295","239.0","29.4","-10"
"232","Hurston Waldrep",ATL,"SP70","139","290","239.3","32.1","+29"
"233","Ryne Nelson",ARI,"SP,RP2","185","291","240.1","21.2","+6"
"234","Alec Bohm",PHI,"3B13","147","296","240.2","23.6","+11"
"235","Otto Lopez",MIA,"2B18","165","297","241.9","19.5","+28"
"236","Brendan Donovan",STL,"2B19","138","283","243.0","17.3","+18"
"237","Joe Musgrove",SD,"SP71","148","368","243.0","46.2","+22"
"238","Ryan Walker",SF,"RP20","151","292","229.7","35.7","-16"
"239","Noah Cameron",KC,"SP72","190","275","244.0","17.8","+11"
"240","Luis Arraez",SF,"2B20","110","373","245.4","38.0","+18"
"241","TJ Friedl",CIN,"OF51","192","297","247.4","24.2","+37"
"242","Ramon Laureano",SD,"OF52","182","269","235.2","23.4","-9"
"243","Casey Mize",DET,"SP73","159","286","236.6","30.6","+24"
"244","Jac Caglianone",KC,"1B23","150","264","237.1","19.8","-9"
"245","Adolis Garcia",PHI,"OF53","223","281","251.2","9.9","-15"
"246","Francisco Alvarez",NYM,"C16","187","291","251.5","27.4","-29"
"247","Carlos Correa",HOU,"SS22","166","294","253.0","21.6","-3"
"248","Gerrit Cole",NYY,"SP74","195","296","254.2","34.6","-40"
"249","David Peterson",NYM,"SP75","97","304","211.4","40.7","+68"
"250","Quinn Priester",MIL,"SP,RP3","170","293","246.7","29.6","-2"
"251","Abner Uribe",MIL,"RP21","196","294","249.1","27.0","-56"
"252","Jose Soriano",LAA,"SP76","85","298","215.7","35.5","+70"
"253","Matt Shaw",CHC,"3B14","166","356","262.6","38.3","-2"
"254","Shane Smith",CWS,"SP77","160","282","252.0","21.6","+21"
"255","Josh Lowe",LAA,"OF54","231","296","263.8","21.1","+45"
"256","Brett Baty",NYM,"3B15","190","307","264.6","25.4","-3"
"257","Jordan Beck",COL,"OF55","214","288","253.9","17.5","+25"
"258","Nolan Schanuel",LAA,"1B24","174","296","254.0","20.4","+56"
"259","Konnor Griffin",PIT,"SS23","162","290","255.3","24.8","-27"
"260","Jack Leiter",TEX,"SP78","213","281","255.9","15.2","-5"
"261","Jake Burger",TEX,"1B25","172","300","267.8","22.3","+3"
"262","Mickey Moniak",COL,"OF56","246","303","268.9","16.8","+6"
"263","Caleb Durbin",MIL,"2B21","223","294","270.8","19.4","+2"
"264","Marcell Ozuna",FA,"DH3","171","286","271.0","15.5","+43"
"265","Kazuma Okamoto",TOR,"3B16","174","299","247.1","38.8","-59"
"266","Yusei Kikuchi",LAA,"SP79","90","321","232.0","41.2","+26"
"267","Colton Cowser",BAL,"OF57","221","293","273.7","10.3","-24"
"268","Max Muncy",LAD,"3B17","146","289","264.4","25.4","-65"
"269","Reese Olson",DET,"SP80","215","295","275.7","21.1","+21"
"270","Mitch Keller",PIT,"SP81","123","318","239.4","35.5","+80"
"271","Robert Suarez",ATL,"RP22","194","290","241.3","29.4","-75"
"272","Brandon Pfaadt",ARI,"SP82","124","322","241.9","34.1","+48"
"273","Sean Manaea",NYM,"SP,RP4","204","297","271.8","18.9","+13"
"274","Jose Caballero",NYY,"2B22","177","297","260.1","25.0","-54"
"275","Grayson Rodriguez",LAA,"SP83","185","300","260.4","30.5","+1"
"276","Carter Jensen",KC,"C17","186","293","261.4","29.7","-40"
"277","Dillon Dingler",DET,"C18","218","282","262.1","10.3","-8"
"278","Griffin Jax",TB,"RP23","217","296","262.4","23.2","-6"
"279","Parker Messick",CLE,"SP84","222","321","262.6","31.7","+18"
"280","Chase DeLauter",CLE,"OF58","233","331","279.3","31.2","+21"
"281","Tommy Edman",LAD,"2B23","218","303","281.9","11.6","+12"
"282","Michael Wacha",KC,"SP85","200","342","274.3","33.9","+49"
"283","Kodai Senga",NYM,"SP86","199","300","275.9","21.8","-26"
"284","Brady Singer",CIN,"SP87","156","326","276.5","28.3","-1"
"285","Kevin McGonigle",DET,"SS24","187","328","277.8","34.5","+26"
"286","Nick Castellanos",PHI,"OF59","216","336","278.3","30.4","+38"
"287","Brayan Bello",BOS,"SP88","176","279","248.8","30.8","-17"
"288","Clay Holmes",NYM,"SP89","121","297","249.2","34.7","+10"
"289","Edwin Uceta",TB,"RP24","211","304","269.6","28.8","+6"
"290","Andres Gimenez",TOR,"2B24","215","327","288.3","21.9","+14"
"291","J.T. Realmuto",PHI,"C19","208","371","288.5","33.0","-72"
"292","Jung Hoo Lee",SF,"OF60","242","312","288.9","13.8","+10"
"293","Bryce Eldridge",SF,"1B26","201","322","278.7","24.3","+87"
"294","Miguel Vargas",CWS,"3B18","208","326","292.1","23.7","+2"
"295","JJ Wetherholt",STL,"SS25","175","310","292.3","12.7","-16"
"296","Logan Henderson",MIL,"SP90","204","367","293.0","36.7","-8"
"297","Ryan Weathers",NYY,"SP91","216","320","282.0","22.9","-13"
"298","Seranthony Dominguez",CWS,"RP25","223","330","271.2","42.9","+53"
"299","Zach Eflin",BAL,"SP92","196","384","299.0","37.6","+80"
"300","Joey Cantillo",CLE,"SP,RP5","198","307","273.0","26.4","-1"
"301","Chris Bassitt",FA,"SP93","161","415","281.7","60.9","+60"
"302","Colt Keith",DET,"2B25","151","323","279.5","26.9","-11"
"303","Josh Bell",MIN,"1B27","193","337","292.7","19.4","+117"
"304","Cade Cavalli",WSH,"SP94","212","315","282.8","31.9","+117"
"305","Giancarlo Stanton",NYY,"RF1","204","319","286.0","32.3","-100"
"306","Logan O'Hoppe",LAA,"C20","257","320","286.5","23.3","-54"
"307","Reid Detmers",LAA,"RP26","144","352","299.3","29.1","+59"
"308","Anthony Volpe",NYY,"SS26","228","355","299.7","27.6","+27"
"309","Austin Wells",NYY,"C21","230","313","275.0","29.9","-67"
"310","Luis Severino",ATH,"SP95","191","363","297.3","35.4","+131"
"311","Tyler Mahle",SF,"SP96","197","325","283.2","46.0","+36"
"312","Cam Smith",HOU,"RF2","220","317","283.6","38.1","+41"
"313","Will Warren",NYY,"SP97","228","338","301.0","23.4","-24"
"314","Jeff McNeil",ATH,"2B26","252","382","305.3","41.1","+26"
"315","Bryan Abreu",HOU,"RP27","218","321","290.4","32.1","-28"
"316","Ernie Clement",TOR,"3B19","267","323","291.4","22.2","-56"
"317","J.P. Crawford",SEA,"SS27","179","360","304.7","27.8","+9"
"318","Will Vest",DET,"RP28","272","314","292.0","14.1","-45"
"319","Jameson Taillon",CHC,"SP98","248","331","307.2","24.9","-42"
"320","Jake Cronenworth",SD,"2B27","188","371","295.4","60.4","+23"
"321","Marcelo Mayer",BOS,"2B28","245","342","295.8","38.6","-27"
"322","Jonah Tong",NYM,"SP99","240","329","280.5","31.9","+15"
"323","Lenyn Sosa",CWS,"2B29","270","320","300.8","16.2","+13"
"324","Justin Crawford",PHI,"OF61","213","369","302.0","51.9","+1"
"325","Ha-Seong Kim",ATL,"SS28","232","315","302.2","10.1","-6"
"326","Dylan Beavers",BAL,"OF62","285","353","313.7","26.9","+7"
"327","Spencer Horwitz",PIT,"1B28","220","344","315.3","23.2","+61"
"328","Payton Tolle",BOS,"SP,RP6","278","336","304.6","18.5","+89"
"329","Grant Taylor",CWS,"RP29","221","333","304.8","31.1","+34"
"330","Braxton Ashcraft",PIT,"SP,RP7","253","358","305.0","38.1","-56"
"331","Ryan O'Hearn",PIT,"1B29","271","341","305.4","28.7","-51"
"332","Cedric Mullins II",TB,"OF63","251","324","306.0","21.6","+12"
"333","Jose Berrios",TOR,"SP100","237","388","320.0","36.2","+100"
"334","Riley O'Brien",STL,"RP30","273","351","306.4","32.0","0"
"335","Ian Seymour",TB,"SP,RP8","278","340","306.6","22.5","-30"
"336","Evan Carter",TEX,"OF64","287","352","307.0","23.5","+5"
"337","Jeffrey Springs",ATH,"SP101","227","386","310.4","53.6","-7"
"338","Owen Caissie",MIA,"OF65","227","377","309.0","52.5","+43"
"339","Brooks Lee",MIN,"SS29","215","332","308.6","20.8","+21"
"340","Sean Murphy",ATL,"C22","253","352","310.6","47.1","+46"
"341","Seth Lugo",KC,"SP102","234","361","322.8","27.3","-32"
"342","Tanner Scott",LAD,"RP31","260","326","299.3","24.7","+20"
"343","Chase Meidroth",CWS,"3B20","231","353","315.0","31.2","+71"
"344","Cody Ponce",TOR,"SP,RP9","256","343","301.5","31.2","-29"
"345","Josh Jung",TEX,"3B21","270","337","315.2","23.5","-39"
"346","Kirby Yates",LAA,"RP32","255","391","320.8","52.0","+12"
"347","Reynaldo Lopez",ATL,"SP103","229","376","318.8","38.9","+87"
"348","Robby Snelling",MIA,"SP104","283","409","333.7","48.3","-19"
"349","Jake Mangum",PIT,"OF66","217","358","318.6","53.1","+22"
"350","Lars Nootbaar",STL,"OF67","279","379","329.0","33.9","+58"
"351","Zebby Matthews",MIN,"SP105","268","351","319.8","30.0","-30"
"352","Ryan Jeffers",MIN,"C23","242","350","311.3","42.1","-86"
"353","Isaac Collins",KC,"LF1","241","347","296.3","43.4","+48"
"354","Carson Benge",NYM,"OF68","251","385","330.4","52.3","-5"
"355","Eduardo Rodriguez",ARI,"SP106","198","369","328.6","26.8","+134"
"356","Brandon Marsh",PHI,"OF69","259","366","329.2","38.9","+26"
"357","Michael McGreevy",STL,"SP107","218","373","323.3","61.5","+120"
"358","Chad Patrick",MIL,"SP108","226","378","325.5","58.8","-4"
"359","Bailey Ober",MIN,"SP109","281","361","324.5","29.9","-17"
"360","Robert Stephenson",LAA,"RP33","267","358","313.7","37.2","+116"
"361","Robert Garcia",TEX,"RP34","287","378","331.3","38.6","-22"
"362","Troy Melton",DET,"SP,RP10","295","363","329.3","33.3","-52"
"363","Jordan Walker",STL,"OF70","269","363","316.3","38.4","+42"
"364","Tyler Stephenson",CIN,"C24","294","371","330.3","29.8","-79"
"365","Justin Steele",CHC,"SP110","242","396","337.5","57.5","+11"
"366","Jacob Lopez",ATH,"SP111","260","383","334.8","47.0","+11"
"367","Andrew Painter",PHI,"SP112","289","398","350.0","46.4","-39"
"368","Matthew Liberatore",STL,"SP113","265","375","334.3","44.1","+87"
"369","Edgar Quero",CWS,"C25","271","378","335.5","39.8","0"
"370","Paul Goldschmidt",FA,"1B30","239","514","372.3","112.4","+152"
"371","Parker Meadows",DET,"OF71","265","373","327.0","45.5","+24"
"372","Landen Roupp",SF,"SP114","251","405","347.8","58.1","+91"
"373","Zack Littell",FA,"SP115","245","457","351.0","106.0","+5"
"374","Nick Gonzales",PIT,"2B30","250","531","382.3","115.3","+151"
"375","Andrew Saalfrank",ARI,"RP35","251","446","355.3","80.2","+9"
"376","Mike Burrows",HOU,"SP,RP11","269","381","343.0","43.6","-49"
"377","Cristian Javier",HOU,"SP116","262","403","350.0","53.1","-2"
"378","Nolan Arenado",ARI,"3B22","256","425","361.3","64.1","-70"
"379","Carson Kelly",CHC,"C26","269","383","335.3","48.4","-66"
"380","Jhostynxon Garcia",PIT,"OF72","273","350","311.5","38.5","+204"
